"id_townland","id_barony"
7005076,5000289
7008640,5000153
7005077,5000123
7005078,5000289
7005079,5000011
7005080,5000128
7005081,5000011
7005082,5000289
7005083,5000325
7005084,5000086
7005090,5000194
7005085,5000281
7005212,5000011
7005093,5000281
7005098,5000129
7005086,5000128
7005100,5000011
7005087,5000086
7005101,5000128
7005094,5000289
7005095,5000289
7005102,5000181
7005096,5000198
7005088,5000289
7005089,5000123
7005103,5000086
7005091,5000011
7005097,5000011
7005104,5000086
7005106,5000011
7005092,5000194
7005105,5000128
7005113,5000181
7005108,5000181
7005118,5000011
7005119,5000194
7005109,5000289
7005114,5000289
7005120,5000011
7005110,5000281
7005121,5000123
7005115,5000011
7005123,5000289
7005124,5000011
7005122,5000123
7005125,5000123
7005116,5000289
7005161,5000011
7005130,5000123
7005134,5000086
7005131,5000086
7005132,5000129
7005126,5000128
7005135,5000086
7005127,5000289
7005128,5000086
7005133,5000129
7005136,5000086
7005147,5000011
7005137,5000123
7005141,5000289
7005142,5000129
7005138,5000129
7005143,5000129
7005158,5000194
7005148,5000086
7005139,5000123
7005149,5000086
7005217,5000086
7005140,5000086
7005144,5000194
7005153,5000281
7005145,5000086
7005150,5000129
7005154,5000129
7005151,5000289
7005152,5000128
7005146,5000194
7005155,5000011
7005156,5000289
7005162,5000129
7005163,5000123
7005159,5000194
7005168,5000011
7005157,5000325
7005218,5000281
7005169,5000289
7005164,5000289
7005174,5000281
7005165,5000129
7005166,5000086
7005170,5000289
7005171,5000129
7005175,5000129
7005176,5000281
7005172,5000198
7005173,5000128
7005167,5000194
7005180,5000011
7005177,5000198
7005181,5000129
7005186,5000194
7005178,5000011
7005179,5000289
7005187,5000194
7005189,5000086
7005182,5000289
7005183,5000128
7005219,5000289
7005184,5000281
7005190,5000194
7005194,5000289
7005191,5000289
7005185,5000011
7005195,5000194
7005226,5000194
7005196,5000289
7005192,5000194
7005193,5000123
7005200,5000289
7005201,5000011
7005202,5000011
7005204,5000289
7005210,5000011
