"id_barony","id_county"
5000001,4000008
5000003,4000004
5000004,4000020
5000008,4000030
5000010,4000018
5000012,4000017
5000014,4000103
5000011,4000101
5000016,4000012
5000017,4000013
5000018,4000006
5000019,4000025
5000024,4000023
5000025,4000016
5000029,4000106
5000028,4000102
5000031,4000006
5000032,4000015
5000034,4000105
5000036,4000017
5000039,4000104
5000038,4000101
5000041,4000017
5000042,4000023
5000040,4000024
5000044,4000025
5000045,4000009
5000046,4000025
5000049,4000020
5000050,4000019
5000051,4000006
5000053,4000025
5000054,4000017
5000055,4000023
5000048,4000106
5000057,4000031
5000058,4000023
5000060,4000022
5000063,4000104
5000062,4000103
5000065,4000013
5000066,4000029
5000069,4000027
5000070,4000011
5000071,4000025
5000077,4000019
5000080,4000102
5000081,4000021
5000087,4000016
5000085,4000019
5000086,4000104
5000089,4000105
5000092,4000023
5000095,4000029
5000098,4000012
5000097,4000101
5000102,4000006
5000103,4000009
5000104,4000013
5000100,4000102
5000105,4000025
5000106,4000008
5000114,4000015
5000115,4000006
5000118,4000009
5000122,4000101
5000123,4000103
5000125,4000006
5000126,4000012
5000129,4000106
5000128,4000103
5000132,4000102
5000135,4000017
5000138,4000006
5000139,4000031
5000140,4000023
5000142,4000016
5000143,4000006
5000144,4000028
5000146,4000014
5000149,4000012
5000155,4000106
5000156,4000016
5000157,4000029
5000154,4000104
5000153,4000104
5000152,4000101
5000151,4000102
5000159,4000007
5000163,4000007
5000165,4000013
5000162,4000103
5000161,4000105
5000166,4000027
5000170,4000030
5000169,4000027
5000175,4000006
5000180,4000102
5000181,4000106
5000179,4000106
5000178,4000102
5000184,4000023
5000183,4000103
5000187,4000009
5000189,4000006
5000192,4000006
5000191,4000025
5000193,4000029
5000194,4000101
5000200,4000011
5000205,4000025
5000206,4000019
5000209,4000104
5000214,4000013
5000215,4000019
5000216,4000013
5000213,4000106
5000221,4000013
5000222,4000026
5000220,4000025
5000226,4000025
5000225,4000105
5000224,4000104
5000228,4000009
5000229,4000012
5000234,4000012
5000235,4000030
5000236,4000007
5000239,4000029
5000243,4000017
5000244,4000012
5000242,4000025
5000241,4000104
5000248,4000008
5000250,4000007
5000249,4000025
5000251,4000031
5000252,4000016
5000247,4000008
5000246,4000106
5000254,4000016
5000256,4000019
5000257,4000021
5000261,4000102
5000264,4000023
5000267,4000006
5000266,4000102
5000269,4000004
5000273,4000018
5000275,4000102
5000276,4000105
5000278,4000017
5000281,4000106
5000282,4000026
5000285,4000004
5000287,4000009
5000290,4000029
5000291,4000025
5000292,4000026
5000294,4000009
5000295,4000030
5000296,4000011
5000301,4000102
5000303,4000012
5000312,4000009
5000326,4000027
5000327,4000023
5000332,4000005
5000338,4000102
5000342,4000030
5000343,4000023
5000047,4000020
5000280,4000025
5000015,4000015
5000020,4000017
5000101,4000025
5000021,4000016
5000026,4000016
5000005,4000025
5000006,4000025
5000002,4000102
5000197,4000106
5000198,4000101
5000007,4000018
5000009,4000020
5000022,4000018
5000023,4000004
5000027,4000004
5000030,4000008
5000064,4000014
5000083,4000014
5000130,4000017
5000107,4000009
5000131,4000018
5000108,4000025
5000109,4000030
5000110,4000023
5000111,4000024
5000112,4000015
5000113,4000010
5000116,4000012
5000119,4000019
5000120,4000013
5000117,4000016
5000121,4000015
5000124,4000014
5000127,4000021
5000133,4000018
5000136,4000014
5000137,4000018
5000141,4000004
5000172,4000018
5000145,4000023
5000147,4000106
5000323,4000027
5000148,4000011
5000150,4000005
5000158,4000028
5000160,4000017
5000164,4000103
5000167,4000027
5000168,4000030
5000171,4000009
5000173,4000031
5000174,4000020
5000176,4000005
5000177,4000023
5000182,4000027
5000185,4000028
5000186,4000007
5000188,4000023
5000190,4000014
5000195,4000024
5000196,4000005
5000199,4000027
5000201,4000015
5000324,4000024
5000202,4000017
5000330,4000023
5000331,4000024
5000334,4000019
5000203,4000014
5000336,4000031
5000325,4000106
5000335,4000102
5000329,4000103
5000333,4000106
5000328,4000106
5000204,4000029
5000207,4000015
5000134,4000004
5000208,4000024
5000210,4000028
5000211,4000031
5000212,4000015
5000217,4000015
5000218,4000028
5000219,4000028
5000223,4000029
5000227,4000028
5000230,4000014
5000231,4000020
5000232,4000005
5000233,4000004
5000237,4000028
5000238,4000015
5000240,4000028
5000245,4000023
5000253,4000006
5000255,4000028
5000258,4000017
5000259,4000014
5000260,4000006
5000262,4000009
5000263,4000025
5000265,4000015
5000268,4000018
5000270,4000020
5000271,4000005
5000272,4000012
5000274,4000012
5000277,4000023
5000279,4000021
5000283,4000004
5000284,4000022
5000286,4000029
5000297,4000015
5000288,4000102
5000289,4000101
5000293,4000105
5000298,4000023
5000299,4000016
5000300,4000023
5000302,4000025
5000304,4000004
5000305,4000021
5000306,4000028
5000307,4000010
5000308,4000026
5000309,4000027
5000310,4000017
5000311,4000029
5000313,4000030
5000314,4000008
5000315,4000019
5000316,4000004
5000317,4000015
5000318,4000012
5000319,4000024
5000320,4000021
5000321,4000017
5000322,4000026
5000043,4000018
5000052,4000016
5000059,4000029
5000056,4000031
5000061,4000027
5000033,4000018
5000337,4000031
5000078,4000025
5000035,4000011
5000068,4000014
5000084,4000014
5000094,4000014
5000076,4000027
5000073,4000018
5000096,4000014
5000099,4000014
5000088,4000018
5000079,4000014
5000074,4000018
5000082,4000014
5000013,4000004
5000090,4000014
5000037,4000014
5000075,4000024
5000093,4000005
5000072,4000005
5000067,4000002
5000339,4000002
5000340,4000001
5000341,4000003
5000091,4000025
