"id_insc","id_read"
60000001,65000001
60000003,65000003
60000004,65000004
60000005,65000005
60000006,65000006
60000007,65000007
60000008,65000008
60000009,65000009
60000010,65000010
60000011,65000011
60000012,65000012
60000013,65000013
60000014,65000014
60000015,65000015
60000016,65000016
60000017,65000017
60000018,65000018
60000019,65000019
60000020,65000020
60000021,65000021
60000022,65000022
60000023,65000023
60000024,65000024
60000025,65000025
60000026,65000026
60000027,65000027
60000028,65000028
60000029,65000029
60000030,65000030
60000031,65000031
60000032,65000032
60000033,65000033
60000034,65000034
60000035,65000035
60000036,65000036
60000037,65000037
60000038,65000038
60000039,65000039
60000040,65000040
60000041,65000041
60000042,65000042
60000043,65000043
60000044,65000044
60000045,65000045
60000047,65000047
60000048,65000048
60000049,65000049
60000050,65000050
60000051,65000051
60000052,65000052
60000053,65000053
60000054,65000054
60000055,65000055
60000056,65000056
60000057,65000057
60000058,65000058
60000059,65000059
60000060,65000060
60000061,65000061
60000062,65000062
60000063,65000063
60000064,65000064
60000065,65000065
60000066,65000066
60000067,65000067
60000068,65000068
60000069,65000069
60000070,65000070
60000071,65000071
60000072,65000072
60000073,65000073
60000074,65000074
60000075,65000075
60000076,65000076
60000077,65000077
60000078,65000078
60000079,65000079
60000080,65000080
60000081,65000081
60000082,65000082
60000083,65000083
60000085,65000085
60000086,65000086
60000087,65000087
60000088,65000088
60000089,65000089
60000090,65000090
60000091,65000091
60000092,65000092
60000093,65000093
60000095,65000095
60000096,65000096
60000097,65000097
60000098,65000098
60000099,65000099
60000100,65000100
60000101,65000101
60000102,65000102
60000103,65000103
60000104,65000104
60000105,65000105
60000106,65000106
60000107,65000107
60000108,65000108
60000109,65000109
60000110,65000110
60000111,65000111
60000112,65000112
60000113,65000113
60000114,65000114
60000115,65000115
60000116,65000116
60000117,65000117
60000118,65000118
60000119,65000119
60000120,65000120
60000121,65000121
60000122,65000122
60000123,65000123
60000124,65000124
60000125,65000125
60000126,65000126
60000127,65000127
60000129,65000129
60000130,65000130
60000131,65000131
60000132,65000132
60000133,65000133
60000134,65000134
60000136,65000136
60000137,65000137
