"id_stone","id_insc"
20000001,62000001
20000001,62000002
20000001,62000003
20000002,62000004
20000003,62000005
20000003,62000006
20000004,62000007
20000004,62000008
20000005,62000009
20000005,62000010
20000006,62000011
20000006,62000012
20000007,62000013
20000007,62000014
20000008,62000015
20000009,62000016
20000009,62000017
20000009,62000018
20000010,62000019
20000010,62000020
20000010,62000021
20000010,62000022
20000011,62000023
20000011,62000024
20000012,62000025
20000012,62000026
20000013,62000027
20000014,62000028
20000015,62000029
20000016,62000030
20000017,62000031
20000018,62000032
20000019,62000033
20000019,62000034
20000020,62000035
20000020,62000036
20000020,62000037
20000021,62000039
20000021,62000038
20000022,62000040
20000023,62000041
20000023,62000042
20000024,62000043
20000025,62000045
20000025,62000044
20000025,62000046
20000026,62000047
20000026,62000048
20000026,62000049
20000027,62000050
20000027,62000051
20000028,62000053
20000028,62000054
20000028,62000052
20000029,62000058
20000029,62000055
20000029,62000056
20000029,62000057
20000030,62000060
20000030,62000061
20000030,62000062
20000030,62000059
20000031,62000064
20000031,62000063
20000032,62000066
20000032,62000065
20000033,62000068
20000033,62000067
20000034,62000069
20000035,62000070
20000035,62000071
20000035,62000072
20000036,62000073
20000036,62000074
20000037,62000076
20000037,62000075
20000038,62000078
20000038,62000079
20000038,62000077
20000039,62000080
20000040,62000082
20000040,62000081
20000041,62000083
20000042,62000084
20000042,62000085
20000043,62000086
20000043,62000087
20000043,62000088
20000044,62000092
20000044,62000089
20000044,62000091
20000044,62000090
20000045,62000093
20000046,62000094
20000047,62000095
20000048,62000096
20000048,62000097
20000049,62000098
20000049,62000099
20000049,62000100
20000050,62000101
20000051,62000102
20000051,62000103
20000052,62000105
20000052,62000106
20000052,62000104
20000053,62000107
20000053,62000108
20000053,62000109
20000053,62000110
20000054,62000111
20000055,62000112
20000055,62000113
20000055,62000114
20000056,62000115
20000056,62000116
20000057,62000117
20000057,62000118
20000058,62000119
20000059,62000120
20000059,62000121
20000059,62000122
20000059,62000123
20000060,62000124
20000061,62000125
20000061,62000126
20000062,62000127
20000063,62000128
20000063,62000129
20000064,62000130
20000065,62000131
20000065,62000132
20000066,62000133
20000067,62000134
20000068,62000135
20000069,62000136
20000069,62000138
20000069,62000137
20000070,62000139
20000071,62000140
20000072,62000141
20000073,62000142
20000073,62000143
20000073,62000145
20000073,62000144
20000074,62000146
20000074,62000147
20000075,62000148
20000076,62000149
20000076,62000150
20000077,62000151
20000078,62000152
20000078,62000153
20000079,62000154
20000080,62000155
20000080,62000156
20000080,62000157
20000081,62000158
20000082,62000159
20000082,62000160
20000083,62000161
20000083,62000162
20000083,62000163
20000083,62000164
20000084,62000165
20000084,62000166
20000085,62000167
20000085,62000168
20000086,62000169
20000087,62000170
20000088,62000171
20000089,62000172
20000090,62000173
20000091,62000174
20000091,62000175
20000092,62000176
20000093,62000177
20000093,62000178
20000093,62000179
20000093,62000180
20000093,62000181
20000094,62000182
20000095,62000183
20000097,62000184
20000097,62000185
20000098,62000186
20000099,62000187
20000099,62000188
20000100,62000189
20000100,62000190
20000101,62000191
20000101,62000192
20000102,62000193
20000103,62000194
20000104,62000195
20000105,62000196
20000105,62000197
20000106,62000198
20000107,62000199
20000107,62000200
20000108,62000201
20000108,62000202
20000108,62000203
20000109,62000204
20000109,62000205
20000110,62000206
20000111,62000207
20000112,62000208
20000113,62000209
20000114,62000210
20000115,62000211
20000116,62000212
20000117,62000213
20000118,62000214
20000119,62000215
20000120,62000216
20000120,62000217
20000121,62000218
20000122,62000219
20000123,62000220
20000124,62000221
20000125,62000222
20000125,62000223
20000126,62000224
20000127,62000225
20000128,62000226
20000128,62000227
20000129,62000228
20000130,62000229
20000131,62000230
20000132,62000231
20000133,62000232
20000134,62000233
20000135,62000234
20000135,62000235
20000135,62000236
20000136,62000237
20000139,62000238
20000139,62000239
20000139,62000240
20000139,62000241
20000139,62000242
20000139,62000243
20000140,62000244
20000142,62000245
20000143,62000246
20000144,62000247
20000145,62000248
20000146,62000249
20000147,62000250
20000148,62000251
20000149,62000252
20000150,62000253
20000150,62000254
20000150,62000255
20000150,62000256
20000151,62000257
20000151,62000258
20000151,62000259
20000152,62000260
20000153,62000261
20000153,62000262
20000154,62000263
20000154,62000264
20000154,62000265
20000155,62000266
20000156,62000267
20000156,62000268
20000157,62000269
20000158,62000270
20000159,62000271
20000159,62000272
20000160,62000273
20000160,62000274
20000160,62000275
20000161,62000276
20000162,62000277
20000162,62000278
20000163,62000279
20000163,62000280
20000164,62000281
20000165,62000282
20000166,62000283
20000166,62000284
20000167,62000285
20000168,62000287
20000168,62000286
20000168,62000288
20000169,62000289
20000170,62000290
20000171,62000291
20000172,62000292
20000173,62000293
20000174,62000295
20000174,62000294
20000175,62000296
20000176,62000297
20000177,62000298
20000178,62000299
20000179,62000300
20000180,62000301
20000181,62000302
20000182,62000303
20000183,62000305
20000183,62000304
20000184,62000306
20000185,62000307
20000185,62000308
20000186,62000309
20000186,62000310
20000187,62000311
20000188,62000313
20000188,62000312
20000190,62000314
20000191,62000315
20000191,62000316
20000192,62000317
20000193,62000318
20000194,62000319
20000195,62000320
20000196,62000321
20000197,62000322
20000197,62000323
20000198,62000324
20000198,62000325
20000199,62000326
20000200,62000327
20000201,62000328
20000202,62000329
20000202,62000330
20000202,62000331
20000202,62000332
20000203,62000333
20000203,62000334
20000203,62000335
20000204,62000336
20000204,62000337
20000205,62000338
20000206,62000339
20000206,62000340
20000207,62000341
20000207,62000342
20000207,62000343
20000208,62000344
20000209,62000345
20000209,62000346
20000210,62000347
20000210,62000348
20000211,62000349
20000211,62000350
20000211,62000351
20000211,62000352
20000212,62000353
20000213,62000354
20000213,62000355
20000214,62000356
20000215,62000357
20000215,62000358
20000216,62000359
20000217,62000360
20000218,62000361
20000218,62000362
20000219,62000363
20000219,62000364
20000219,62000365
20000220,62000366
20000221,62000367
20000223,62000368
20000224,62000369
20000224,62000370
20000225,62000371
20000226,62000372
20000227,62000373
20000227,62000374
20000229,62000375
20000229,62000376
20000229,62000377
20000230,62000378
20000231,62000379
20000232,62000380
20000232,62000381
20000233,62000382
20000233,62000383
20000234,62000384
20000234,62000385
20000234,62000386
20000234,62000387
20000234,62000388
20000234,62000389
20000235,62000390
20000236,62000391
20000236,62000392
20000239,62000393
20000240,62000394
20000241,62000395
20000241,62000396
20000242,62000397
20000243,62000398
20000245,62000399
20000246,62000400
20000246,62000401
20000247,62000402
20000248,62000403
20000249,62000404
20000250,62000405
20000250,62000406
20000251,62000407
20000252,62000408
20000253,62000409
20000254,62000410
20000255,62000411
20000256,62000412
20000257,62000413
20000257,62000414
20000258,62000415
20000259,62000416
20000259,62000417
20000260,62000418
20000261,62000419
20000262,62000420
20000263,62000421
20000263,62000422
20000264,62000423
20000265,62000424
20000266,62000425
20000268,62000426
20000269,62000427
20000270,62000428
20000271,62000429
20000272,62000430
20000273,62000431
20000274,62000432
20000275,62000433
20000276,62000434
20000277,62000435
20000278,62000436
20000279,62000437
20000280,62000438
20000280,62000439
20000281,62000440
20000281,62000441
20000282,62000442
20000283,62000443
20000283,62000444
20000284,62000445
20000285,62000446
20000286,62000447
20000286,62000448
20000287,62000449
20000287,62000450
20000288,62000451
20000289,62000452
20000290,62000453
20000291,62000454
20000291,62000455
20000292,62000456
20000292,62000457
20000293,62000458
20000294,62000459
20000295,62000460
20000296,62000461
20000296,62000462
20000296,62000463
20000297,62000464
20000297,62000465
20000297,62000466
20000298,62000467
20000299,62000468
20000300,62000469
20000301,62000470
20000302,62000471
20000303,62000472
20000303,62000473
20000304,62000474
20000305,62000475
20000306,62000476
20000307,62000477
20000308,62000478
20000309,62000479
20000310,62000480
20000311,62000481
20000312,62000482
20000313,62000483
20000314,62000484
20000314,62000485
20000315,62000486
20000315,62000487
20000316,62000488
20000317,62000489
20000318,62000490
20000319,62000491
20000320,62000492
20000321,62000493
20000322,62000494
20000323,62000495
20000325,62000496
20000326,62000497
20000327,62000498
20000328,62000499
20000329,62000500
20000330,62000501
20000331,62000502
20000333,62000503
20000334,62000504
20000335,62000505
20000336,62000506
20000336,62000507
20000337,62000508
20000338,62000509
20000338,62000510
20000339,62000511
20000339,62000512
20000339,62000513
20000340,62000514
20000340,62000515
20000340,62000516
20000341,62000517
20000341,62000518
20000342,62000519
20000343,62000520
20000344,62000521
20000344,62000522
20000345,62000523
20000346,62000524
20000346,62000525
20000347,62000526
20000349,62000527
20000350,62000528
20000350,62000529
20000351,62000530
20000352,62000531
20000352,62000532
20000353,62000533
20000354,62000534
20000355,62000535
20000355,62000536
20000356,62000537
20000357,62000538
20000358,62000539
20000359,62000540
20000361,62000541
20000362,62000542
20000362,62000543
20000363,62000544
20000363,62000545
20000364,62000546
20000365,62000547
20000365,62000548
20000366,62000549
20000366,62000550
20000367,62000551
20000368,62000552
10000176,60000176
30000077,61000077
10000141,60000141
10000254,60000254
10000025,60000025
10000065,60000065
10000184,60000184
10000234,60000234
10000215,60000215
10000062,60000062
10000118,60000118
10000297,60000298
30000144,61000144
10000165,60000165
10000105,60000105
30000149,61000149
10000294,60000295
10000041,60000041
10000146,60000146
10000156,60000156
10000096,60000096
10000022,60000022
10000104,60000104
10000196,60000196
10000151,60000151
30000113,61000113
30000063,61000063
30000040,61000040
10000018,60000018
30000031,61000031
10000006,60000006
10000083,60000083
10000307,60000308
10000178,60000178
10000147,60000147
10000072,60000072
30000012,61000012
10000223,60000223
10000174,60000174
30000057,61000057
30000103,61000103
10000060,60000060
10000295,60000296
30000054,61000054
30000062,61000062
10000076,60000076
30000099,61000099
10000256,60000256
30000087,61000087
10000175,60000175
10000019,60000019
10000303,60000304
10000114,60000114
30000122,61000122
10000272,60000272
10000252,60000252
30000058,61000058
10000009,60000009
10000121,60000121
10000134,60000134
10000281,60000281
10000269,60000269
30000146,61000146
30000098,61000098
10000313,60000314
10000142,60000142
10000010,60000010
10000103,60000103
30000067,61000067
10000170,60000170
10000157,60000157
30000004,61000004
30000038,61000038
10000225,60000225
10000179,60000179
10000217,60000217
10000154,60000154
10000278,60000278
