"id_stone","id_word"
10000001,6
10000001,17
10000002,6
10000004,6
10000007,1
10000007,6
10000007,46
10000008,1
10000008,3
10000008,9
10000008,10
10000009,6
10000009,8
10000009,41
10000010,10
10000010,32
10000010,87
10000011,6
10000011,17
10000012,3
10000012,9
10000013,10
10000015,6
10000015,8
10000016,6
10000016,17
10000017,6
10000017,17
10000018,6
10000018,18
10000018,52
10000019,6
10000020,6
10000020,20
10000022,8
10000023,6
10000023,48
10000023,71
10000024,6
10000024,54
10000024,59
10000025,5
10000025,9
10000025,17
10000025,23
10000026,6
10000026,16
10000026,33
10000026,94
10000027,6
10000027,49
10000028,3
10000028,6
10000029,2
10000030,6
10000030,18
10000030,22
10000030,52
10000031,6
10000031,8
10000031,10
10000031,41
10000032,6
10000033,3
10000033,6
10000033,13
10000034,6
10000037,6
10000037,41
10000040,10
10000041,6
10000043,1
10000043,6
10000044,6
10000044,75
10000045,6
10000045,75
10000047,6
10000047,17
10000048,6
10000049,2
10000049,3
10000050,6
10000052,6
10000052,77
10000053,6
10000053,17
10000054,6
10000054,10
10000055,6
10000056,6
10000058,2
10000058,6
10000058,8
10000058,13
10000060,6
10000061,6
10000061,11
10000062,6
10000062,10
10000062,13
10000062,45
10000064,5
10000064,6
10000064,13
10000065,6
10000065,11
10000065,13
10000066,6
10000067,6
10000067,10
10000067,14
10000067,100
10000068,6
10000069,6
10000069,47
10000071,2
10000071,6
10000071,10
10000071,45
10000072,5
10000072,6
10000072,8
10000072,9
10000072,13
10000073,10
10000074,51
10000075,6
10000075,64
10000076,6
10000076,8
10000076,51
10000078,6
10000078,18
10000078,52
10000079,8
10000080,6
10000080,21
10000081,6
10000081,55
10000082,6
10000083,6
10000085,6
10000085,8
10000085,13
10000085,18
10000085,52
10000086,10
10000087,2
10000087,22
10000088,6
10000088,13
10000088,18
10000088,52
10000091,6
10000091,8
10000091,43
10000092,6
10000095,6
10000095,11
10000096,2
10000096,6
10000098,1
10000098,6
10000098,41
10000098,62
10000100,2
10000101,2
10000101,11
10000101,22
10000101,91
10000103,10
10000103,90
10000104,6
10000104,21
10000105,1
10000106,6
10000107,6
10000108,6
10000108,8
10000108,47
10000109,2
10000109,6
10000109,18
10000109,52
10000110,6
10000110,8
10000110,49
10000111,6
10000111,8
10000112,10
10000113,21
10000114,6
10000115,6
10000115,8
10000115,22
10000115,58
10000117,6
10000118,6
10000119,1
10000119,6
10000120,6
10000120,18
10000120,52
10000121,1
10000121,6
10000121,16
10000122,6
10000122,17
10000124,6
10000125,6
10000127,6
10000131,3
10000131,38
10000131,80
10000133,6
10000133,8
10000133,11
10000136,1
10000136,6
10000137,5
10000137,6
10000137,8
10000138,1
10000138,6
10000138,8
10000138,18
10000138,52
10000139,6
10000139,11
10000139,16
10000139,17
10000141,1
10000142,6
10000143,6
10000143,22
10000145,6
10000146,6
10000146,42
10000147,1
10000147,6
10000148,6
10000149,2
10000149,6
10000149,48
10000149,71
10000150,6
10000151,6
10000152,6
10000153,6
10000154,1
10000154,6
10000155,6
10000158,1
10000158,25
10000160,6
10000160,8
10000161,6
10000161,10
10000161,48
10000161,60
10000164,6
10000164,8
10000164,19
10000165,6
10000165,8
10000165,45
10000167,6
10000167,68
10000168,6
10000171,6
10000171,23
10000174,6
10000174,8
10000174,11
10000174,16
10000174,30
10000174,88
10000175,17
10000176,6
10000176,10
10000176,14
10000176,20
10000176,100
10000178,6
10000179,1
10000179,6
10000180,1
10000182,6
10000183,6
10000184,6
10000184,22
10000184,92
10000185,5
10000185,6
10000185,9
10000185,17
10000185,23
10000187,6
10000187,9
10000187,10
10000188,6
10000188,18
10000188,52
10000189,6
10000189,8
10000189,9
10000189,17
10000190,6
10000192,6
10000192,8
10000192,10
10000192,17
10000193,6
10000193,8
10000193,17
10000194,11
10000194,16
10000195,6
10000195,8
10000195,22
10000197,2
10000197,6
10000197,10
10000198,6
10000198,9
10000199,6
10000199,8
10000200,6
10000200,8
10000201,6
10000202,2
10000202,3
10000202,6
10000202,10
10000203,6
10000204,6
10000204,8
10000204,41
10000205,6
10000205,9
10000205,10
10000206,8
10000207,6
10000207,8
10000209,6
10000209,8
10000210,2
10000210,71
10000211,6
10000211,8
10000211,85
10000213,8
10000213,22
10000214,6
10000214,8
10000214,10
10000214,17
10000215,6
10000216,2
10000216,6
10000216,20
10000217,8
10000218,6
10000218,20
10000219,6
10000221,8
10000221,9
10000224,8
10000225,6
10000227,6
10000227,8
10000227,12
10000228,6
10000229,2
10000229,10
10000231,6
10000231,9
10000231,28
10000233,6
10000233,8
10000233,22
10000234,8
10000234,11
10000234,12
10000234,16
10000234,29
10000235,6
10000237,6
10000237,8
10000237,17
10000238,6
10000238,8
10000238,17
10000238,76
10000240,6
10000240,8
10000241,6
10000241,8
10000241,51
10000242,6
10000242,12
10000242,22
10000243,6
10000244,12
10000247,9
10000247,10
10000248,6
10000248,62
10000249,6
10000249,15
10000250,6
10000250,8
10000252,5
10000252,6
10000253,16
10000254,6
10000254,8
10000254,16
10000255,2
10000255,13
10000256,5
10000256,6
10000257,20
10000257,86
10000258,6
10000258,17
10000259,2
10000259,6
10000259,14
10000259,35
10000260,6
10000260,8
10000260,17
10000260,69
10000262,2
10000262,12
10000262,40
10000263,53
10000265,6
10000265,11
10000265,18
10000265,26
10000265,52
10000266,9
10000266,44
10000267,5
10000267,6
10000268,6
10000269,6
10000269,38
10000271,6
10000275,1
10000275,6
10000275,8
10000277,6
10000277,8
10000277,23
10000277,56
10000278,6
10000278,11
10000279,22
10000280,6
10000280,81
10000282,6
10000284,2
10000284,6
10000284,13
10000284,24
10000284,43
10000284,65
10000284,103
10000286,6
10000287,2
10000287,6
10000288,44
10000289,17
10000290,73
10000291,6
10000291,8
10000291,10
10000291,16
10000291,79
10000292,6
10000292,8
10000292,64
10000294,89
10000295,6
10000295,10
10000295,67
10000296,1
10000296,6
10000296,83
10000297,1
10000297,6
10000303,6
10000303,8
10000304,6
10000305,6
10000305,42
10000306,6
10000307,6
10000308,6
10000309,6
10000310,1
10000310,6
10000310,20
10000311,6
10000311,41
10000312,6
10000312,8
10000312,37
10000313,6
10000313,39
10000313,84
10000315,6
10000316,18
10000316,52
10000317,6
10000317,50
10000318,93
10000320,6
10000320,22
10000321,5
10000321,6
10000321,68
10000322,11
10000323,2
10000323,6
10000323,63
20000001,6
20000001,37
20000001,6
20000001,37
20000002,6
20000002,15
20000003,6
20000003,75
20000003,6
20000003,75
20000004,6
20000004,75
20000004,6
20000004,75
20000005,6
20000005,17
20000005,6
20000005,17
20000006,6
20000006,6
20000007,2
20000007,3
20000008,73
20000009,6
20000009,8
20000009,10
20000009,16
20000009,79
20000009,6
20000009,8
20000009,10
20000009,16
20000009,79
20000009,6
20000009,8
20000009,10
20000009,16
20000009,79
20000010,6
20000010,64
20000010,6
20000010,8
20000010,64
20000010,6
20000010,8
20000010,64
20000010,6
20000010,8
20000010,64
20000011,6
20000011,8
20000011,9
20000011,17
20000011,6
20000011,8
20000011,9
20000011,17
20000012,6
20000012,6
20000014,6
20000015,6
20000015,13
20000015,19
20000016,6
20000020,1
20000020,6
20000020,6
20000020,77
20000020,6
20000020,77
20000023,2
20000023,22
20000025,6
20000025,22
20000025,6
20000025,22
20000026,5
20000026,6
20000026,8
20000026,68
20000026,68
20000026,5
20000026,6
20000026,68
20000027,11
20000027,11
20000029,6
20000029,6
20000029,6
20000030,17
20000031,6
20000033,6
20000033,37
20000033,6
20000033,37
20000034,18
20000034,52
20000035,6
20000035,50
20000035,6
20000035,50
20000035,6
20000036,1
20000036,93
20000036,1
20000036,93
20000038,6
20000038,42
20000038,6
20000038,6
20000038,42
20000039,6
20000040,6
20000040,6
20000041,6
20000041,23
20000042,6
20000042,6
20000043,1
20000043,6
20000043,20
20000043,1
20000043,6
20000043,20
20000043,1
20000043,6
20000043,20
20000044,6
20000044,41
20000044,6
20000044,41
20000044,6
20000044,41
20000044,6
20000044,41
20000045,6
20000045,39
20000045,84
20000046,6
20000046,8
20000046,9
20000046,41
20000047,5
20000047,6
20000048,6
20000048,20
20000048,74
20000048,6
20000048,20
20000048,74
20000049,6
20000049,10
20000049,6
20000049,10
20000049,6
20000049,10
20000051,6
20000051,6
20000052,6
20000052,6
20000052,6
20000053,2
20000053,6
20000053,8
20000053,2
20000053,6
20000053,8
20000053,13
20000053,2
20000053,6
20000053,8
20000053,2
20000053,6
20000055,6
20000055,6
20000056,6
20000056,11
20000056,6
20000056,11
20000057,6
20000057,10
20000057,45
20000057,6
20000057,10
20000057,45
20000059,6
20000059,6
20000061,6
20000061,8
20000061,22
20000061,6
20000061,8
20000061,22
20000062,6
20000062,23
20000063,6
20000063,6
20000065,6
20000065,8
20000065,51
20000065,51
20000067,6
20000068,6
20000069,6
20000069,6
20000071,6
20000072,6
20000072,64
20000073,6
20000073,55
20000073,6
20000073,55
20000073,6
20000073,55
20000073,6
20000073,55
20000074,6
20000074,17
20000074,6
20000074,17
20000076,6
20000076,13
20000076,5
20000076,6
20000076,13
20000077,6
20000077,11
20000077,13
20000078,6
20000078,6
20000079,6
20000079,10
20000079,14
20000079,100
20000080,47
20000080,6
20000080,6
20000080,47
20000082,2
20000082,6
20000082,2
20000082,6
20000082,10
20000082,45
20000083,5
20000083,6
20000083,8
20000083,9
20000083,13
20000083,5
20000083,6
20000083,8
20000083,13
20000083,5
20000083,6
20000083,8
20000083,9
20000083,5
20000083,6
20000083,8
20000083,9
20000083,13
20000084,10
20000084,10
20000086,2
20000086,6
20000086,10
20000087,6
20000087,9
20000088,6
20000088,21
20000089,8
20000089,11
20000089,12
20000089,16
20000089,29
20000091,6
20000091,18
20000091,52
20000092,6
20000093,6
20000093,6
20000093,6
20000094,6
20000094,8
20000094,13
20000094,18
20000094,52
20000095,6
20000095,17
20000099,6
20000099,6
20000100,10
20000100,6
20000100,10
20000101,2
20000101,22
20000102,89
20000103,10
20000103,67
20000105,1
20000105,6
20000105,1
20000105,6
20000107,6
20000107,6
20000107,8
20000108,6
20000108,6
20000108,6
20000108,19
20000109,6
20000109,2
20000109,48
20000109,71
20000115,21
20000116,6
20000116,8
20000116,11
20000116,16
20000116,30
20000116,88
20000117,6
20000117,42
20000118,2
20000118,11
20000118,22
20000118,91
20000119,6
20000120,6
20000121,5
20000121,6
20000121,8
20000122,6
20000125,1
20000125,6
20000125,46
20000125,1
20000125,6
20000125,46
20000126,1
20000126,3
20000126,9
20000126,10
20000127,6
20000128,6
20000128,6
20000129,6
20000130,6
20000130,8
20000130,49
20000131,6
20000131,8
20000132,10
20000133,6
20000133,8
20000133,22
20000133,58
20000135,6
20000135,6
20000135,6
20000136,6
20000139,2
20000139,6
20000139,63
20000139,2
20000139,2
20000139,2
20000139,6
20000139,63
20000140,53
20000142,17
20000143,6
20000143,8
20000144,6
20000144,12
20000144,22
20000145,6
20000147,3
20000147,6
20000147,13
20000150,6
20000150,8
20000150,10
20000150,17
20000150,6
20000150,8
20000150,17
20000150,69
20000150,6
20000150,8
20000150,17
20000150,69
20000150,6
20000150,8
20000150,17
20000150,69
20000151,9
20000151,44
20000151,9
20000151,44
20000151,9
20000151,44
20000153,1
20000153,6
20000153,1
20000153,6
20000154,6
20000154,41
20000154,6
20000154,6
20000154,8
20000154,41
20000155,1
20000155,6
20000156,1
20000156,1
20000156,6
20000156,8
20000156,18
20000156,52
20000157,6
20000157,18
20000157,52
20000159,6
20000159,6
20000160,5
20000160,6
20000160,5
20000160,6
20000160,5
20000162,5
20000162,6
20000162,9
20000162,17
20000162,23
20000162,5
20000162,6
20000162,9
20000162,17
20000162,23
20000165,6
20000166,6
20000167,6
20000168,6
20000168,11
20000168,16
20000168,17
20000168,6
