"id","insc_no","reading_no"
60000001,1,1
60000002,1,1
60000003,1,1
60000004,1,1
60000005,1,1
60000006,1,1
60000007,1,1
60000008,1,1
60000009,1,1
60000010,1,1
60000011,1,1
60000012,1,1
60000013,1,1
60000014,1,1
60000015,1,1
60000016,1,1
60000017,1,1
60000018,1,1
60000019,1,1
60000020,1,1
60000021,1,1
60000022,1,1
60000023,1,1
60000024,1,1
60000025,1,1
60000026,1,1
60000027,1,1
60000028,1,1
60000029,1,1
60000030,1,1
60000031,1,1
60000032,1,1
60000033,1,1
60000034,1,1
60000035,1,1
60000036,1,1
60000037,1,1
60000038,1,1
60000039,1,1
60000040,1,1
60000041,1,1
60000042,1,1
60000043,1,1
60000044,1,1
60000045,1,1
60000046,1,1
60000047,1,1
60000048,1,1
60000049,1,1
60000050,1,1
60000051,1,1
60000052,1,1
60000053,1,1
60000054,1,1
60000055,1,1
60000056,1,1
60000057,1,1
60000058,1,1
60000059,1,1
60000060,1,1
60000061,1,1
60000062,1,1
60000063,1,1
60000064,1,1
60000065,1,1
60000066,1,1
60000067,1,1
60000068,1,1
60000069,1,1
60000070,1,1
60000071,1,1
60000072,1,1
60000073,1,1
60000074,1,1
60000075,1,1
60000076,1,1
60000077,1,1
60000078,1,1
60000079,1,1
60000080,1,1
60000081,1,1
60000082,1,1
60000083,1,1
60000084,1,1
60000085,1,1
60000086,1,1
60000087,1,1
60000088,1,1
60000089,1,1
60000090,1,1
60000091,1,1
60000092,1,1
60000093,1,1
60000094,1,1
60000095,1,1
60000096,1,1
60000097,1,1
60000098,1,1
60000099,1,1
60000100,1,1
60000101,1,1
60000102,1,1
60000103,1,1
60000104,1,1
60000105,1,1
60000106,1,1
60000107,1,1
60000108,1,1
60000109,1,1
60000110,1,1
60000111,1,1
60000112,1,1
60000113,1,1
60000114,1,1
60000115,1,1
60000116,1,1
60000117,1,1
60000118,1,1
60000119,1,1
60000120,1,1
60000121,1,1
60000122,1,1
60000123,1,1
60000124,1,1
60000125,1,1
60000126,1,1
60000127,1,1
60000128,1,1
60000129,1,1
60000130,1,1
60000131,1,1
60000132,1,1
60000133,1,1
60000134,1,1
60000135,1,1
60000136,1,1
60000137,1,1
60000138,1,1
60000139,1,1
60000140,1,1
60000141,1,1
60000142,1,1
60000143,1,1
60000144,1,1
60000145,1,1
60000146,1,1
60000147,1,1
60000148,1,1
60000149,1,1
60000150,1,1
60000151,1,1
60000152,1,1
60000153,1,1
60000154,1,1
60000155,1,1
60000156,1,1
60000157,1,1
60000158,1,1
60000159,1,1
60000160,1,1
60000161,1,1
60000162,1,1
60000163,1,1
60000164,1,1
60000165,1,1
60000166,1,1
60000167,1,1
60000168,1,1
60000169,1,1
60000170,1,1
60000171,1,1
60000172,1,1
60000173,1,1
60000174,1,1
60000175,1,1
60000176,1,1
60000177,1,1
60000178,1,1
60000179,1,1
60000180,1,1
60000181,1,1
60000182,1,1
60000183,1,1
60000184,1,1
60000185,1,1
60000186,1,1
60000187,1,1
60000188,1,1
60000189,1,1
60000190,1,1
60000191,1,1
60000192,1,1
60000193,1,1
60000194,1,1
60000195,1,1
60000196,1,1
60000197,1,1
60000198,1,1
60000199,1,1
