"id","type","wkt","geom_orig","geom_lastrecorded","sitetype","site","grid"
6958697,"Ogham in 3D Found","POINT(-10.243303 52.127798)",NULL,NULL,"Ecclesiastical",NULL,NULL
19853139,"Ogham in 3D Found","POINT(-9.745808 52.073955)",NULL,NULL,"Burial ground",NULL,NULL
23652212,"Ogham in 3D Found","POINT(-8.609923 51.831600)",NULL,"POINT(-6.254558 53.340408)","Souterrain",NULL,NULL
32490093,"Ogham in 3D Found","POINT(-9.778697 52.106495)",NULL,"POINT(-6.254558 53.340408)","Souterrain",NULL,NULL
42612715,"Ogham in 3D Found","POINT(-10.388106 52.178511)",NULL,"POINT(-10.306267 52.126711)","Burial ground and probable ecclesiastical site",NULL,NULL
55537655,"Ogham in 3D Found","POINT(-10.249772 52.257546)",NULL,NULL,"Unassociated",NULL,NULL
69330323,"Ogham in 3D Found","POINT(-7.465370 52.163318)",NULL,NULL,"Souterrain/Ecclesiastical",NULL,NULL
80369902,"Ogham in 3D Found","POINT(-7.548852 52.089619)",NULL,"POINT(-6.254558 53.340408)","Ecclesiastical",NULL,NULL
100609904,"Ogham in 3D Found","POINT(-6.760943 53.028577)",NULL,"POINT(-6.254558 53.340408)","Ecclesiastical",NULL,NULL
125630566,"Ogham in 3D Found","POINT(-9.749639 52.126506)",NULL,"POINT(-7.293674 53.299424)","Souterrain",NULL,NULL
143672125,"Ogham in 3D Found","POINT(-6.570066 52.827385)",NULL,NULL,"Ecclesiastical",NULL,NULL
150264867,"Ogham in 3D Found","POINT(-7.465370 52.163318)",NULL,NULL,"Souterrain/Ecclesiastical",NULL,NULL
156355274,"Ogham in 3D Found","POINT(-9.633466 52.060741)",NULL,"POINT(-9.634923 52.06042)","Souterrain",NULL,NULL
174005570,"Ogham in 3D Found","POINT(-7.465370 52.163318)",NULL,NULL,"Souterrain/Ecclesiastical",NULL,NULL
191529786,"Ogham in 3D Found","POINT(-10.196619 52.126261)",NULL,NULL,"Ecclesiastical",NULL,NULL
199691757,"Ogham in 3D Found","POINT(-7.465370 52.163318)",NULL,NULL,"Souterrain/Ecclesiastical",NULL,NULL
201791285,"Ogham in 3D Found","POINT(-6.071241 52.904532)",NULL,NULL,"Unassociated",NULL,NULL
210626444,"Ogham in 3D Found","POINT(-8.699286 51.978137)",NULL,"POINT(-6.254558 53.340408)","Unassociated",NULL,NULL
217615547,"Ogham in 3D Found","POINT(-9.745808 52.073955)",NULL,NULL,"Burial ground",NULL,NULL
243506492,"Ogham in 3D Found","POINT(-8.847020 51.681206)",NULL,"POINT(-6.254558 53.340408)","Souterrain",NULL,NULL
265339235,"Ogham in 3D Found","POINT(-9.745808 52.073955)",NULL,NULL,"Burial ground",NULL,NULL
297048686,"Ogham in 3D Found","POINT(-10.243303 52.127798)",NULL,NULL,"Ecclesiastical",NULL,NULL
298217888,"Ogham in 3D Found","POINT(-7.847713 52.074413)",NULL,NULL,"Burial ground",NULL,NULL
328648597,"Ogham in 3D Found","POINT(-6.761012 53.028493)",NULL,NULL,"Ecclesiastical",NULL,NULL
337473683,"Ogham in 3D Found","POINT(-9.721501 52.333343)",NULL,NULL,"Souterrain in large Ringfort/Rath",NULL,NULL
350303995,"Ogham in 3D Found","POINT(-9.702644 52.085442)",NULL,"POINT(-9.706264 52.266705)","Souterrain",NULL,NULL
373989444,"Ogham in 3D Found","POINT(-10.243303 52.127798)",NULL,NULL,"Ecclesiastical",NULL,NULL
379610006,"Ogham in 3D Found","POINT(-8.847020 51.681206)",NULL,"POINT(-6.254558 53.340408)","Souterrain",NULL,NULL
400529610,"Ogham in 3D Found","POINT(-7.847708 52.074382)",NULL,NULL,"Burial ground",NULL,NULL
403825105,"Ogham in 3D Found","POINT(-7.222584 52.470256)",NULL,NULL,"Unassociated",NULL,NULL
419511520,"Ogham in 3D Found","POINT(-10.243303 52.127798)",NULL,NULL,"Ecclesiastical",NULL,NULL
429541288,"Ogham in 3D Found","POINT(-6.761020 53.028337)",NULL,"POINT(-6.254558 53.340408)","Ecclesiastical",NULL,NULL
430915063,"Ogham in 3D Found","POINT(-10.388106 52.178511)",NULL,"POINT(-9.642423 52.275865)","Burial ground and probable ecclesiastical site",NULL,NULL
436014998,"Ogham in 3D Found","POINT(-10.120766 51.763611)",NULL,"POINT(-10.121919 51.764123)","Unassociated",NULL,NULL
449698435,"Ogham in 3D Found","POINT(-9.681883 52.267049)",NULL,NULL,"Ecclesiastical",NULL,NULL
463029339,"Ogham in 3D Found","POINT(-10.269093 52.136316)",NULL,"POINT(-10.405999 52.166581)","Souterrain in ringfort/rath",NULL,NULL
478871528,"Ogham in 3D Found","POINT(-7.465370 52.163318)",NULL,NULL,"Souterrain/Ecclesiastical",NULL,NULL
480271036,"Ogham in 3D Found","POINT(-9.633466 52.060741)",NULL,"POINT(-9.634923 52.06042)","Souterrain",NULL,NULL
480906870,"Ogham in 3D Found","POINT(-6.633596 53.009083)",NULL,"POINT(-6.613237 53.021622)","Standing stone pair",NULL,NULL
489107262,"Ogham in 3D Found","POINT(-9.517780 52.615507)",NULL,"POINT(-9.514446 52.614625)","Ecclesiastical",NULL,NULL
542421497,"Ogham in 3D Found","POINT(-10.306496 52.157768)",NULL,NULL,"Ecclesiastical",NULL,NULL
565050150,"Ogham in 3D Found","POINT(-10.606058 52.044046)",NULL,"POINT(-6.256657 53.343981)","Ecclesiastical",NULL,NULL
601248543,"Ogham in 3D Found","POINT(-10.473639 52.110137)",NULL,NULL,"Promontory fort",NULL,NULL
654566282,"Ogham in 3D Found","POINT(-10.283297 51.937555)",NULL,"POINT(-8.494544 51.896371)","Ecclesiastical",NULL,NULL
655670111,"Ogham in 3D Found","POINT(-10.183738 51.888405)",NULL,NULL,"Probable Ecclesiastical",NULL,NULL
667908547,"Ogham in 3D Found","POINT(-7.064559 52.628962)",NULL,NULL,"Ecclesiastical",NULL,NULL
