"id","label","language","script","scientist","scientist_year"
65000001,"LIE LUGUAEDON MACCI MENUEH","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000002,"L[E]GG SD[...]LEŋESCAD MAQ CORRBRI MAQ AMMLLOŋITT","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000003,"AB ULCCAGNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000004,"MAQI-ESEA MAQI DOMANEQI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000005,"DILOGONN","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000006,"CARRTTACC GAQI MU CAGG[I]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000007,"ANM CORRE MAQVI UDD[GLO]METT","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000008,"ANM NETACUNAS CELI VIDETTAS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000009,"[COLAB]OT MAQI MAQI-RITE [MAQI MU]COI CORIBIRI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000010,"CUNAGUSSOS MA[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000011,"LUGUDUC MAQI MAQI-OC [...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000012,"UDDMENSA CELI NETTASLOGI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000013,"CUNOVATO","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000014,"B..Q.....HAGA......DL","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000015,"LUDUDECA MAQU SI[TT?]ALI MUCOI M...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000016,"MICANAVVI MAQ LUGUNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000017,"VEQIKAMI MAQI LUGUNI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000018,"GRIMIGGN[I MAQ]I CERC...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000019,"CULRIGAI MAQI MENUMAQ[I]","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000020,"BRANI MAQQI MUCC[OI......]R[A]L[...","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000021,"COLLOS","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000022,"VEQREQ MUCOI GLUNLEGGET TENREN MONOI GDUQDEGGEV","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000023,"DALAGNI MAQI DALI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000024,"VRAICCI MAQI MEDVVI","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000025,"BROINIENAS KOI NETA TTRENALUGOS.","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000026,"VERGOSO MACI LLOMINACCA.","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
65000027,"MADORA MAQI DEGO","goide","ogham","Thiery, F. & Schmidt S.C.","2020/2021"
