"id","label","desc","wikidata_id","original_id","width","height","depth","thickness","h_status","w_status","t_status","discovery_year","discovery_who","currentsetting","currentlocation","form","completeness","preservation","preservation_note","smr_no"
10000001,"CIIC 1 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892272","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000002,"CIIC 10 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892302","10",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000003,"CIIC 100 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892504","100",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000004,"CIIC 101 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892506","101",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000005,"CIIC 102 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892509","102",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000006,"CIIC 103 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q69377850","103",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000007,"CIIC 104 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892510","104",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000008,"CIIC 105 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70885728","105",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000009,"CIIC 106 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892513","106",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000010,"CIIC 107 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70885727","107",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000011,"CIIC 108 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892516","108",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000012,"CIIC 109 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892518","109",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000013,"CIIC 11 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892303","11",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000014,"CIIC 110 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892523","110",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000015,"CIIC 111 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892526","111",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000016,"CIIC 112 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70885739","112",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000017,"CIIC 113 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70382440","113",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000018,"CIIC 114 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70885736","114",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000019,"CIIC 115 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q69383434","115",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000020,"CIIC 116 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70382438","116",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000021,"CIIC 117 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q69385241","117",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000022,"CIIC 118 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892527","118",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000023,"CIIC 119 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892531","119",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000024,"CIIC 12 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892306","12",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000025,"CIIC 120 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892533","120",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
