"id","label","translation","reference","variants","context","wikidata_id","wikidata_type"
1,"ANM","name","McManus 1991,§6.27","[ANM]","{{ANM [P]},{ANM [P] MAQI [P]}}","Q68000035","Q67381377"
2,"AVI","grandson, descendant","McManus 1991,§6.27","[AVI]","{{AVI [P]},{[P] AVI [P]},{[P] MAQI [P] AVI [P]}}","Q68000199","Q67381377"
3,"CELI","companions, client, fellow","McManus 1991,§6.27","[CELI]","{{CELI [P]},{[P] CELI [P]}}","Q68000377","Q67381377"
4,"INIGENA","daughter","McManus 1991,§6.27","[INIGENA|INGENVI]","{{INIGENA [P]}}","Q106703620 ","Q67381377"
5,"KOI","here","McManus 1991,§6.27","[KOI]","{{[P] KOI MAQI MUCOI [P]},{KOI [P]}}","Q68000462","Q67381377"
6,"MAQI","son","McManus 1991,§6.27","[MAQI|MAQQI|MAQ|MAC|MACI|MACCI|MACV]","{{[P] MAQI [P]},{[P] MAQI MUCOI [P]},{[P] MAQI [P] MUCOI [P]},{[P] KOI MAQI MUCOI [P]},{[P] MAQI [P] MAQI MUCOI [P]},{ANM [P] MAQI [P]},{[P] MAQI [P] AVI [P]}}","Q67381254","Q67381377"
7,"MEMOR","memorial, tombstone","McManus 1991,§6.27","[MEMOR]","{String}","Q106703621 ","Q67381377"
8,"MUCOI","túath, tribe","McManus 1991,§6.27","[MUCOI|MOCU|MACCU|MOCOI|MOCO]","{{MUCOI [P]},{[P] MAQI MUCOI [P]},{[P] MAQI [P] MUCOI [P]},{[P] KOI MAQI MUCOI [P]},{[P] MUCOI [P]},{[P] MAQI [P] MAQI MUCOI [P]}}","Q67999759","Q67381377"
9,"NIOTA","nephew, sister`s son","McManus 1991,§6.27","[NIOTA|NETTA|NETA]","{{NIOTA [P]}}","Q106703622 ","Q67381377"
10,"CUNA","dog, hound","McManus 1991,§6.3","[CUNA|CUNO|CONU|CVNO|CUNAS|CONAS|CONA|CON|CVNI]","{subString}","Q67382235","Q67382150"
11,"CATTU","battle","McManus 1991,§6.3","[CATTU|CATU|CATA|CAT|CATTOS|CATOS|CCATTO|CATTO|CCATO|CATI]","{subString}","Q67383338","Q67382150"
12,"BARR","top, head, hear of the head","McManus 1991,§6.4","[BARR|BAR]","{subString}","Q106703624 ","Q67382150"
13,"DOV","black","McManus 1991,§6.4","[DOV]","{subString}","Q106703625 ","Q67382150"
14,"GLAS","light green","McManus 1991,§6.4","[GLAS]","{subString}","Q106703626 ","Q67382150"
15,"MAGL","prince","McManus 1991,§6.4","[MAGL|MAGLI]","{subString}","Q106703628 ","Q67382150"
16,"VIR","man","McManus 1991,§6.4","[VIR|VER]","{subString}","Q106703629 ","Q67382150"
17,"LUG","god","McManus 1991,§6.5","[LUG]","{subString}","Q67383482","Q67382150"
18,"ERC","god","McManus 1991,§6.5","[ERC|ERCA]","{subString}","Q67382360","Q67382150"
19,"RITTA","god","McManus 1991,§6.5","[RITTA|RETA|RITTE]","{subString}","Q106703630 ","Q67382150"
20,"BRAN","raven","McManus 1991,§6.6","[BRAN]","{subString}","Q106703632 ","Q67382150"
21,"QENN","head","McManus 1991,§6.6","[QENN|QVEN|QEN|QENI]","{subString}","Q106703633 ","Q67382150"
22,"IVA","tree, yew tree","McManus 1991,§6.6","[IVA|IVO]","{subString}","Q106703635 ","Q67382150"
23,"TREN","strong","McManus 1991,§6.6","[TREN|TTREN]","{subString}","Q106703636 ","Q67382150"
24,"DOVALESCI","(he who is) black and sliggish","McManus 1991,§6.10","[DOVALESCI]","{string}","Q106703638","Q79401991"
25,"GATTEGLAN","(he who is) wise and pure","McManus 1991,§6.10","[GATTEGLAN]","{string}","Q106703639 ","Q79401991"
26,"DERCMASOC","(he who has) an elegant /filthy eye","McManus 1991,§6.10","[DERCMASOC]","{string}","Q68001907","Q79401991"
27,"CUNAMAGLI","prince of wolves","McManus 1991,§6.10","[CUNAMAGLI]","{string}","Q106703641 ","Q79401991"
28,"CUNANETAS","champion of the wolves","McManus 1991,§6.10","[CUNANETAS|CUNNETAS]","{string}","Q101349712","Q79401991"
29,"CATABAR","head (`chief`) of battle","McManus 1991,§6.10","[CATABAR]","{string}","Q106703642 ","Q79401991"
30,"CATTUVVIRR","man of battle","McManus 1991,§6.10","[CATTUVVIRR]","{string}","Q106703644 ","Q79401991"
31,"CVNORIX","king of wolves","McManus 1991,§6.10","[CVNORIX]","{string}","Q106703645 ","Q79401991"
32,"CUNAGUSSOS","(he who has) the strengh of a wolf","McManus 1991,§6.10","[CUNAGUSSOS]","{string}","Q106703646 ","Q79401991"
33,"VERGOSO","(he who has) the strengh of a man","McManus 1991,§6.10","[VERGOSO]","{string}","Q106703648 ","Q79401991"
34,"VENDVBARI","(he who has) a fair head of hear","McManus 1991,§6.10","[VENDVBARI]","{string}","Q106703650 ","Q79401991"
35,"INEQAGLAS","having a grey face","McManus 1991,§6.10","[INEQAGLAS]","{string}","Q106703652 ","Q79401991"
36,"BARRIVENDI","(he who has) a  a fair head of hear","McManus 1991,§6.10","[BARRIVENDI]","{string}","Q106703653 ","Q79401991"
37,"ACTO","drives","McManus 1991,§6.11","[ACTO]","{string}","Q106703655 ","Q79401991"
38,"ALATTOS","wild","McManus 1991,§6.11","[ALATTOS|ALATTO]","{string}","Q106703656 ","Q79401991"
39,"BAIT","foolish","McManus 1991,§6.11","[BAIT]","{string}","Q106703659 ","Q79401991"
40,"BARI","top, head","McManus 1991,§6.11","[BARI]","{string}","Q106703660 ","Q79401991"
41,"BIR","short heared","McManus 1991,§6.11","[BIR]","{string}","Q106703661 ","Q79401991"
42,"BROCI","badger","McManus 1991,§6.11","[BROCI|BROCC]","{string}","Q106703663 ","Q79401991"
43,"BRUSCCOS","thunder","McManus 1991,§6.11","[BRUSCCOS|BRUSCO]","{string}","Q106703664 ","Q79401991"
44,"CARI","loves","McManus 1991,§6.11","[CARI]","{string}","Q106703667 ","Q79401991"
45,"CORBBI","defiles","McManus 1991,§6.11","[CORBBI]","{string}","Q106703669 ","Q79401991"
46,"CORRE","heron","McManus 1991,§6.11","[CORRE]","{string}","Q106703670 ","Q79401991"
47,"CURCI","heart or reddens, burns","McManus 1991,§6.11","[CURCI]","{string}","Q106703672 ","Q79401991"
48,"DALI","blind","McManus 1991,§6.11","[DALI|DALA]","{string}","Q106703673 ","Q79401991"
49,"DEGOS","flame,blaze","McManus 1991,§6.11","[DEGOS|DEGO]","{string}","Q106703676 ","Q79401991"
50,"DOMMO","Domma","McManus 1991,§6.11","[DOMMO]","{string}","Q106703677 ","Q79401991"
51,"DRUGNO","dróna","McManus 1991,§6.11","[DRUGNO|DROGNO]","{string}","Q106703679 ","Q79401991"
52,"ERC","heaven,cow","McManus 1991,§6.11","[ERC]","{string}","Q106703682 ","Q79401991"
53,"IARNI","iron","McManus 1991,§6.11","[IARNI]","{string}","Q106703683 ","Q79401991"
